state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48091.0,232,221,11,0.8280542986425339,0.7272727272727273,0.10078157136980659
TX,48245.0,125,91,34,0.7472527472527473,0.6470588235294118,0.10019392372333547
CA,6065.0,1952,1769,183,0.7433578292820803,0.644808743169399,0.09854908611268132
TX,48135.0,157,145,12,0.6758620689655173,0.5833333333333334,0.09252873563218389
TX,48355.0,242,231,11,0.7272727272727273,0.6363636363636364,0.09090909090909094
CA,6081.0,326,318,8,0.839622641509434,0.75,0.089622641509434
CA,6067.0,1052,933,119,0.8006430868167203,0.7142857142857143,0.08635737253100595
TX,48201.0,2732,2242,490,0.7292595896520964,0.6489795918367347,0.08027999781536166
TX,48181.0,175,165,10,0.7757575757575758,0.7,0.0757575757575758
TX,48113.0,1361,1063,298,0.7450611476952023,0.6711409395973155,0.0739202080978868
CA,6019.0,538,487,51,0.7392197125256673,0.6666666666666666,0.07255304585900069
TX,48029.0,1500,1306,194,0.7557427258805512,0.6855670103092784,0.07017571557127289
CA,6099.0,281,257,24,0.7782101167315175,0.7083333333333334,0.06987678339818415
TX,48121.0,1086,971,115,0.8063851699279093,0.7391304347826086,0.06725473514530067
CA,6033.0,47,42,5,0.6666666666666666,0.6,0.06666666666666665
TX,48187.0,214,186,28,0.7741935483870968,0.7142857142857143,0.05990783410138245
CA,6073.0,2040,1913,127,0.7527443805541035,0.6929133858267716,0.05983099472733189
CA,6057.0,109,105,4,0.8095238095238095,0.75,0.059523809523809534
CA,6111.0,520,505,15,0.7881188118811882,0.7333333333333333,0.05478547854785487
TX,48157.0,781,595,186,0.7596638655462185,0.7096774193548387,0.04998644619137971
TX,48481.0,27,21,6,0.7142857142857143,0.6666666666666666,0.04761904761904767
TX,48167.0,318,289,29,0.7716262975778547,0.7241379310344828,0.04748836654337196
TX,48315.0,13,11,2,0.5454545454545454,0.5,0.045454545454545414
TX,48257.0,260,164,96,0.7926829268292683,0.75,0.04268292682926833
CA,6013.0,743,681,62,0.8002936857562408,0.7580645161290323,0.042229169627208574
TX,48397.0,162,134,28,0.746268656716418,0.7142857142857143,0.031982942430703654
TX,48039.0,335,269,66,0.7286245353159851,0.696969696969697,0.03165483834628813
CA,6077.0,517,468,49,0.7564102564102564,0.7346938775510204,0.02171637885923594
CA,6075.0,300,290,10,0.8137931034482758,0.8,0.013793103448275779
CA,6097.0,288,277,11,0.8303249097472925,0.8181818181818182,0.012143091565474218
TX,48251.0,215,194,21,0.7680412371134021,0.7619047619047619,0.006136475208640246
TX,48279.0,7,6,1,1.0,1.0,0.0
TX,48023.0,4,2,2,0.5,0.5,0.0
CA,6039.0,108,99,9,0.7676767676767676,0.7777777777777778,-0.010101010101010166
CA,6109.0,49,45,4,0.7111111111111111,0.75,-0.03888888888888886
CA,6061.0,425,405,20,0.8098765432098766,0.85,-0.04012345679012341
TX,48349.0,29,25,4,0.68,0.75,-0.06999999999999995
TX,48215.0,378,366,12,0.6775956284153005,0.75,-0.07240437158469948
TX,48367.0,218,211,7,0.7772511848341233,0.8571428571428571,-0.07989167230873384
TX,48473.0,104,78,26,0.6410256410256411,0.7307692307692307,-0.08974358974358965
TX,48233.0,20,18,2,0.8888888888888888,1.0,-0.11111111111111116
TX,48329.0,148,140,8,0.7571428571428571,0.875,-0.11785714285714288
TX,48213.0,101,96,5,0.6666666666666666,0.8,-0.13333333333333341
TX,48281.0,24,21,3,0.8571428571428571,1.0,-0.1428571428571429
TX,48451.0,80,78,2,0.8461538461538461,1.0,-0.15384615384615385
TX,48003.0,14,13,1,0.8461538461538461,1.0,-0.15384615384615385
CA,6041.0,161,160,1,0.84375,1.0,-0.15625
TX,48055.0,31,27,4,0.5925925925925926,0.75,-0.15740740740740744
CA,6113.0,110,107,3,0.8411214953271028,1.0,-0.15887850467289721
TX,48321.0,18,14,4,0.5714285714285714,0.75,-0.1785714285714286
CA,6089.0,135,132,3,0.8181818181818182,1.0,-0.18181818181818177
CA,6017.0,179,176,3,0.8125,1.0,-0.1875
CA,6079.0,191,189,2,0.8042328042328042,1.0,-0.1957671957671958
TX,48239.0,11,10,1,0.8,1.0,-0.19999999999999996
TX,48061.0,197,190,7,0.6473684210526316,0.8571428571428571,-0.2097744360902255
TX,48287.0,16,14,2,0.7857142857142857,1.0,-0.2142857142857143
TX,48441.0,98,93,5,0.7849462365591398,1.0,-0.21505376344086025
CA,6009.0,55,51,4,0.7843137254901961,1.0,-0.21568627450980393
TX,48223.0,23,22,1,0.7727272727272727,1.0,-0.2272727272727273
TX,48221.0,75,74,1,0.7702702702702703,1.0,-0.22972972972972971
TX,48299.0,22,21,1,0.7619047619047619,1.0,-0.23809523809523814
TX,48259.0,59,58,1,0.7586206896551724,1.0,-0.24137931034482762
CA,6005.0,34,31,3,0.7096774193548387,1.0,-0.29032258064516125
CA,6115.0,85,81,4,0.691358024691358,1.0,-0.308641975308642
TX,48465.0,24,22,2,0.6818181818181818,1.0,-0.31818181818181823
TX,48049.0,28,27,1,0.6666666666666666,1.0,-0.33333333333333337
