state_code,county_code,total_applications,advantaged_n,disadvantaged_n,advantaged_approval_rate,disadvantaged_approval_rate,approval_disparity_gap
TX,48477.0,3110,2540,570,0.7409448818897638,0.3105263157894737,0.4304185661002901
TX,48051.0,2178,1849,329,0.6511627906976745,0.2735562310030395,0.37760655969463497
TX,48149.0,1587,1429,158,0.7004898530440867,0.3291139240506329,0.37137592899345384
TX,48063.0,1027,911,116,0.7310647639956093,0.3620689655172414,0.3689957984783679
TX,48089.0,1288,1118,170,0.6601073345259392,0.29411764705882354,0.36598968746711563
TX,48145.0,1046,879,167,0.6496018202502845,0.31137724550898205,0.3382245747413024
TX,48351.0,1083,827,256,0.5223700120918985,0.1875,0.3348700120918985
TX,48241.0,3015,2575,440,0.5848543689320388,0.2681818181818182,0.3166725507502206
TX,48225.0,1458,1204,254,0.6096345514950167,0.2952755905511811,0.3143589609438356
TX,48475.0,843,785,58,0.6140127388535032,0.3103448275862069,0.30366791126729625
TX,48405.0,548,432,116,0.5277777777777778,0.22413793103448276,0.303639846743295
TX,48289.0,1451,1308,143,0.5863914373088684,0.2867132867132867,0.2996781505955817
TX,48285.0,1193,1072,121,0.6809701492537313,0.3884297520661157,0.29254039718761565
TX,48161.0,1726,1433,293,0.6406140963014655,0.34812286689419797,0.2924912294072675
TX,48067.0,2366,2019,347,0.6438831104507182,0.3515850144092219,0.2922980960414963
TX,48203.0,5548,4516,1032,0.6950841452612931,0.40310077519379844,0.2919833700674947
TX,48185.0,3348,2964,384,0.6686909581646424,0.3776041666666667,0.2910867914979757
TX,48287.0,1303,1143,160,0.6220472440944882,0.33125,0.2907972440944882
TX,48395.0,1444,1203,241,0.6334164588528678,0.34439834024896265,0.28901811860390514
TX,48449.0,1729,1555,174,0.7697749196141479,0.4827586206896552,0.2870162989244927
TX,48001.0,3654,3093,561,0.6020045263498222,0.3155080213903743,0.28649650495944784
TX,48347.0,3463,3045,418,0.6981937602627257,0.41626794258373206,0.28192581767899366
TX,48293.0,1554,1309,245,0.6417112299465241,0.3673469387755102,0.27436429117101385
TX,48239.0,943,877,66,0.6807297605473204,0.4090909090909091,0.27163885145641126
TX,48123.0,1140,1042,98,0.6583493282149712,0.3877551020408163,0.27059422617415485
TX,48457.0,1825,1649,176,0.5245603395997575,0.2556818181818182,0.2688785214179393
TX,48315.0,825,655,170,0.5679389312977099,0.3,0.2679389312977099
TX,48481.0,2229,1952,277,0.6577868852459017,0.3898916967509025,0.26789518849499916
TX,48041.0,14827,13464,1363,0.7989453357100416,0.532648569332355,0.2662967663776865
TX,48313.0,986,844,142,0.5604265402843602,0.29577464788732394,0.2646518923970363
TX,48343.0,958,797,161,0.6976160602258469,0.43478260869565216,0.2628334515301947
TX,48331.0,1805,1657,148,0.6614363307181653,0.39864864864864863,0.2627876820695167
TX,48401.0,3855,3245,610,0.6841294298921418,0.42295081967213116,0.2611786102200106
TX,48321.0,1966,1782,184,0.7272727272727273,0.4673913043478261,0.2598814229249012
TX,48073.0,4084,3677,407,0.6521620886592331,0.3931203931203931,0.25904169553884
TX,48387.0,727,612,115,0.6454248366013072,0.391304347826087,0.25412048877522025
TX,48423.0,19555,16883,2672,0.7529467511698158,0.5063622754491018,0.24658447572071396
TX,48471.0,4428,3743,685,0.7266898209991985,0.4802919708029197,0.24639785019627886
TX,48365.0,1671,1365,306,0.6146520146520147,0.369281045751634,0.24537096890038068
TX,48419.0,1387,1111,276,0.5445544554455446,0.3007246376811594,0.24382981776438517
TX,48007.0,2903,2820,83,0.700709219858156,0.4578313253012048,0.24287789455695125
TX,48373.0,3873,3465,408,0.5994227994227994,0.35784313725490197,0.24157966216789745
TX,48407.0,2891,2550,341,0.5988235294117648,0.35777126099706746,0.2410522684146973
TX,48037.0,6677,5323,1354,0.7274093556265264,0.48670605612998524,0.24070329949654118
TX,48403.0,1008,912,96,0.5723684210526315,0.3333333333333333,0.2390350877192982
TX,48199.0,5981,5527,454,0.6070200832277909,0.3700440528634361,0.23697603036435477
TX,48455.0,1222,1116,106,0.6012544802867383,0.36792452830188677,0.23332995198485157
TX,48499.0,4447,4247,200,0.732752531198493,0.5,0.23275253119849304
TX,48459.0,3907,3587,320,0.6802341789796488,0.45,0.23023417897964876
TX,48015.0,2847,2511,336,0.6869772998805257,0.4583333333333333,0.22864396654719238
TX,48005.0,5330,4790,540,0.6626304801670146,0.4425925925925926,0.22003788757442205
TX,48217.0,3427,3206,221,0.6827822832189644,0.4660633484162896,0.2167189348026748
TX,48049.0,2288,2206,82,0.7098821396192203,0.5,0.2098821396192203
TX,48177.0,1255,1140,115,0.5631578947368421,0.3565217391304348,0.2066361556064073
TX,48213.0,8709,8129,580,0.6719153647435109,0.4689655172413793,0.20294984750213158
TX,48469.0,5426,5001,425,0.6850629874025195,0.4823529411764706,0.20271004622604888
TX,48183.0,8292,6962,1330,0.7535191037058316,0.5518796992481203,0.20163940445771134
TX,48265.0,3497,3405,92,0.7415565345080763,0.5434782608695652,0.19807827363851116
TX,48415.0,874,823,51,0.6865127582017011,0.49019607843137253,0.19631667977032857
TX,48219.0,1471,1407,64,0.6325515280739161,0.4375,0.19505152807391613
TX,48349.0,4231,3733,498,0.671577819448165,0.4839357429718876,0.1876420764762774
TX,48309.0,18022,16154,1868,0.7912591308654203,0.6092077087794433,0.18205142208597702
TX,48245.0,12672,9357,3315,0.7937373089665491,0.6235294117647059,0.17020789720184326
TX,48223.0,2847,2660,187,0.7116541353383459,0.5454545454545454,0.16619958988380046
