summary,loan_amount,income,interest_rate,loan_to_income
count,2301251,2301251,2301251,2301251
mean,420386.8526292873,168.18651637739646,6.253253768206095,2934.705476225938
stddev,408874.8453045431,992.0028465708598,1.8103637719304024,5960.528955308677
min,5000,1.0,0.001,0.15271786900879317
25%,195000,86.0,5.25,1657.608695652174
50%,325000,128.0,6.25,2871.6216216216217
75%,525000,192.0,7.125,3813.5593220338983
max,50005000,824922.0,18.0,3005000.0
